Date,Description,Amount,REF,Available
02/04/2025,Interest,220.46,38803080140,49309.04
02/04/2025,Salary Deposit,1500.0,10002779889,50809.04
02/04/2025,ATM Withdrawal,197.84,44429174137,54947.86
03/04/2025,Credit Card Payment,1829.85,67326672941,9741.8
05/04/2025,Utility Payment,685.94,82711854951,12124.49
06/04/2025,Interest,1932.68,95668434044,3893.64
06/04/2025,Utility Payment,0.66,59641587591,20922.01
06/04/2025,Utility Payment,1159.73,21277050448,43807.0
06/04/2025,ATM Withdrawal,1291.05,43194643632,84879.84
07/04/2025,Salary Deposit,1500.0,43947805296,77845.62
07/04/2025,POS Purchase,1848.89,11711755550,98124.86
07/04/2025,Online Transfer,947.32,31622625512,100741.13
07/04/2025,POS Purchase,52.58,25538588819,109527.01
09/04/2025,Interest,314.96,75217297176,40997.71
10/04/2025,Interest,1817.64,39424792452,15936.55
10/04/2025,Salary Deposit,1500.0,89531967663,61383.5
10/04/2025,Credit Card Payment,1553.98,87908712438,88642.54
11/04/2025,Interest,888.76,97683973165,19421.35
11/04/2025,Online Transfer,809.4,82332037766,62192.9
11/04/2025,POS Purchase,1786.6,50475325029,64063.61
12/04/2025,Utility Payment,-382.07,89286083451,107686.17
14/04/2025,Credit Card Payment,1040.19,55568287692,73164.68
14/04/2025,ATM Withdrawal,472.29,47490002025,82600.17
15/04/2025,ATM Withdrawal,-224.07,82376871656,39697.35
15/04/2025,Online Transfer,748.11,38400766154,93118.45
16/04/2025,POS Purchase,1536.41,69399891718,82127.88
20/04/2025,Mobile Payment,1280.11,99178713286,68800.07
20/04/2025,Credit Card Payment,310.65,88759785159,89082.88
23/04/2025,Reversal,384.85,74590123448,80591.47
23/04/2025,Salary Deposit,1500.0,63257062516,91412.53
24/04/2025,Mobile Payment,253.53,58558333466,87088.56
26/04/2025,Utility Payment,1641.64,89443646309,5535.28
26/04/2025,Credit Card Payment,1423.52,21155546044,35526.76
27/04/2025,ATM Withdrawal,1294.23,72821482968,31687.85
27/04/2025,ATM Withdrawal,1395.5,11795106316,72124.49
28/04/2025,Credit Card Payment,1668.95,87902064378,99793.81
30/04/2025,Credit Card Payment,-386.86,11156364386,95773.07
30/04/2025,Credit Card Payment,241.78,71240306687,105592.56
01/05/2025,Utility Payment,1940.12,11328482264,30393.62
01/05/2025,Mobile Payment,1648.18,77851653612,102389.31
02/05/2025,Credit Card Payment,946.79,87949377922,6482.07
02/05/2025,Salary Deposit,1500.0,48872651861,20921.35
02/05/2025,Interest,1164.51,29721155011,40861.86
02/05/2025,Salary Deposit,1500.0,62590504574,56447.86
02/05/2025,Reversal,975.68,47753953160,108068.24
04/05/2025,Mobile Payment,312.13,56249763982,26953.5
04/05/2025,Salary Deposit,1500.0,68965670849,28453.5
04/05/2025,Credit Card Payment,-278.75,23378938938,108907.42
05/05/2025,Salary Deposit,1500.0,61590230464,83607.11
06/05/2025,Interest,1066.58,87850032829,23146.48
07/05/2025,Utility Payment,940.3,31552106023,54750.02
07/05/2025,Salary Deposit,1500.0,98570839727,109186.17
08/05/2025,Interest,-262.26,99314818907,56185.6
08/05/2025,POS Purchase,286.33,25239431457,86591.82
09/05/2025,POS Purchase,-48.47,97196528593,46672.22
10/05/2025,Online Transfer,1579.51,62699422055,34103.24
10/05/2025,Credit Card Payment,1768.51,45983189668,80206.62
10/05/2025,Online Transfer,129.69,57162545895,88772.23
10/05/2025,ATM Withdrawal,957.81,74058944375,92370.34
