Date,Description,Amount,REF,Available
06/04/2025,Food Delivery,-107.25,9569213782,4892.75
09/04/2025,Food Delivery,-33.77,92543948537,4858.98
10/04/2025,Food Delivery,-151.36,57869533274,4707.62
14/04/2025,Game Coins buy,-113.4,45359378588,4594.22
15/04/2025,Freelance Income,161.18,87323811292,4755.4
16/04/2025,Credit Card Payment,-40.51,5197257530,4714.89
17/04/2025,ATM Withdrawal,-80.83,6558276355,4634.06
22/04/2025,Freelance Income,137.27,89767164771,4771.33
26/04/2025,Cashback,47.4,51282376649,4818.73
28/04/2025,Online Transfer,-235.94,53404828541,4582.79
01/05/2025,Food Delivery,-255.7,31008954608,4327.09
06/05/2025,Salary Deposit,1500,21679490836,5827.09
08/05/2025,Rent Payment,-800,33158023888,5027.09
08/05/2025,Freelance Income,42.05,36948063977,5069.14
10/05/2025,Subscription Fee,-46.65,78029562612,5022.49
13/05/2025,Food Delivery,-64.94,34801243470,4957.55
14/05/2025,Credit Card Payment,-159.72,55808923662,4797.83
15/05/2025,Online Transfer,-42.36,26340039136,4755.47
19/05/2025,Utility Payment,-124.69,83451177693,4630.78
19/05/2025,Game Coins buy,34.33,20834004364,4665.11
20/05/2025,Credit Card Payment,-74.43,28340177894,4590.68
22/05/2025,Utility Payment,-67.7,28673539409,4522.98
24/05/2025,Food Delivery,-216.14,24405434088,4306.84
26/05/2025,Food Delivery,-77.55,87769565291,4229.29
26/05/2025,Subscription Fee,-249.56,62656632446,3979.73
27/05/2025,Online Transfer,-69,93398233215,3910.73
29/05/2025,Online Transfer,-276.42,32324328056,3634.31
31/05/2025,POS Purchase,-72.81,35488383274,3561.5
01/06/2025,Utility Payment,-81.73,15868415316,3479.77
06/06/2025,Salary Deposit,1500,86296209469,4979.77
08/06/2025,Game Coins buy,38.78,10721969419,5018.55
08/06/2025,Rent Payment,-800,80659170125,4218.55
09/06/2025,Food Delivery,-253.07,25369893166,3965.48
10/06/2025,Game Coins buy,120.34,60070310985,4085.82
12/06/2025,Credit Card Payment,-29.68,97449325657,4056.14
19/06/2025,Freelance Income,185.55,78936813058,4241.69
21/06/2025,Credit Card Payment,-60.21,75089591652,4181.48
23/06/2025,Credit Card Payment,-166.9,33542555995,4014.58
24/06/2025,Utility Payment,-224.04,60903456163,3790.54
24/06/2025,Credit Card Payment,-260.3,85714678370,3530.24
25/06/2025,Subscription Fee,-171.81,69556028157,3358.43
03/07/2025,POS Purchase,-200.62,76974341965,3157.81
04/07/2025,Game Coins buy,-106.11,2532684814,3051.7
05/07/2025,Subscription Fee,-61.97,4634988712,2989.73
06/07/2025,Salary Deposit,1500,8776790885,4489.73
08/07/2025,Rent Payment,-800,47970062815,3689.73
06/07/2025,Adjustment,1410.27,23772387285,5100
